Status,Brand,CPU,RAM,Storage,GPU,Screen,Touch,Price
New,acer,i5,8,256,other,15.6,No,905.22
New,asus,i7,8,256,other,15.6,No,1123.3930000000005
New,lenovo,other,4,128,intel,11.6,Yes,451.0
New,lenovo,i3,4,1000,intel,15.6,No,480.43
Refurbished,asus,i9,32,1000,nvdia,17.3,No,1931.64
Refurbished,hp,i7,16,512,intel,15.6,No,1603.1
New,dell,i7,16,256,amd,15.6,No,1263.9589
New,samsung,i7,16,256,other,15.0,No,1978.43
New,lenovo,i7,16,512,nvdia,15.6,No,2260.99
New,hp,i5,8,128,other,17.3,No,1045.39
Refurbished,other,i7,16,1000,nvdia,15.6,No,1699.0
New,asus,i5,8,256,intel,14.0,Yes,1179.0
Refurbished,asus,i7,16,512,intel,15.6,No,749.0
Refurbished,msi,i7,32,1000,nvdia,15.6,No,2799.0
New,hp,i5,8,256,intel,15.6,No,1015.01
New,hp,i7,8,1000,other,15.6,No,961.93
New,hp,i7,8,256,amd,15.6,No,1599.65
New,acer,i3,8,128,intel,14.0,No,786.0
New,other,other,4,64,intel,14.1,No,251.4
New,asus,i7,16,512,intel,15.6,No,937.54
Refurbished,msi,i9,64,2000,nvdia,17.3,No,3799.0
Refurbished,lenovo,i5,16,512,nvdia,15.6,No,1350.05
Refurbished,hp,i5,16,512,nvdia,16.1,No,624.78
New,dell,i7,8,256,intel,14.0,No,1177.9
New,msi,i5,8,128,other,17.3,No,1171.65
New,lenovo,other,4,16,intel,13.3,No,492.093
New,dell,i3,4,1000,intel,15.6,No,597.7020000000001
New,hp,i5,8,256,intel,12.5,No,1282.93
New,msi,i7,32,1000,intel,13.4,Yes,1899.0
Refurbished,hp,i7,16,512,intel,14.0,No,588.0
New,lenovo,i3,4,128,intel,14.0,No,761.0
New,hp,i5,16,512,nvdia,15.6,No,1049.99
Refurbished,asus,ryzen 7,16,1000,nvdia,14.0,No,854.59
Refurbished,other,i7,16,1000,nvdia,17.3,No,1949.0
New,other,i5,8,512,intel,15.6,No,739.0
New,lenovo,i7,8,256,other,15.6,No,1496.93
Refurbished,dell,i5,8,512,intel,13.3,No,511.59
New,lenovo,i3,4,128,intel,15.6,No,674.1
Refurbished,lenovo,i7,16,512,nvdia,16.0,No,2228.08
New,hp,i7,16,512,nvdia,16.1,No,1149.0
New,dell,i5,8,256,intel,15.6,No,879.0
New,microsoft,i7,16,512,nvdia,14.4,Yes,2264.55
New,asus,ryzen 5,4,128,amd,15.6,No,615.25
New,lenovo,i5,8,256,intel,15.6,No,1000.27
New,asus,i5,8,256,nvdia,15.6,No,977.0
New,lenovo,i7,16,256,nvdia,15.0,No,1371.0
New,asus,other,8,1000,intel,15.6,No,426.93
New,acer,i3,8,256,intel,15.6,No,539.01
New,asus,ryzen 7,16,512,intel,15.6,No,1035.84
New,acer,i5,8,256,intel,15.6,No,529.0
New,dell,i7,8,1000,other,15.6,No,1282.93
New,microsoft,i7,16,1000,intel,12.3,Yes,2842.5
New,dell,i7,8,256,nvdia,15.0,No,2712.0
New,other,i7,16,500,nvdia,15.6,No,1479.9
New,other,i5,8,256,intel,15.6,No,549.0
New,asus,ryzen 7,16,512,nvdia,15.6,No,1411.19
New,lenovo,ryzen 3,8,256,intel,15.6,No,499.0
New,asus,i5,16,512,intel,15.6,No,869.0
Refurbished,msi,i7,16,1000,nvdia,17.3,No,1999.0
New,dell,i3,6,1000,intel,15.6,Yes,469.73
New,acer,other,2,32,intel,11.6,No,186.18
Refurbished,lenovo,i7,16,512,nvdia,16.0,No,2228.08
New,acer,i5,8,512,intel,15.6,No,770.56
New,lenovo,i7,16,512,other,15.6,No,2535.9
New,lenovo,i5,16,512,nvdia,15.6,No,1099.0
New,hp,ryzen 7,8,512,intel,15.6,No,614.0
