Status,CPU,RAM,Storage,GPU,Screen,Price,apple,asus,dell,hp,lenovo,microsoft,msi,other,samsung,toshiba
0,3,2,4,3.0,15.6,817.48,0,0,0,1,0,0,0,0,0,0
0,2,1,4,3.0,15.6,523.23,0,0,0,1,0,0,0,0,0,0
0,2,2,4,3.0,15.6,640.9300000000001,0,0,0,0,1,0,0,0,0,0
0,3,3,3,1.0,14.0,1473.83,0,0,0,0,1,0,0,0,0,0
0,2,2,4,1.0,15.6,910.2062,0,0,0,0,1,0,0,0,0,0
1,2,3,3,1.0,14.0,1901.48,0,0,0,0,1,0,0,0,0,0
1,5,4,4,2.0,17.3,1999.0,0,0,0,0,0,0,1,0,0,0
0,3,1,2,1.0,14.0,682.6600000000001,0,0,0,0,1,0,0,0,0,0
0,0,1,3,1.0,15.6,321.99,0,0,0,0,1,0,0,0,0,0
0,2,3,3,0.0,17.3,4696.2300000000005,0,0,0,1,0,0,0,0,0,0
0,3,3,3,2.0,15.6,1454.12,0,1,0,0,0,0,0,0,0,0
1,2,2,3,1.0,12.3,866.0,0,0,0,0,0,1,0,0,0,0
0,2,2,3,1.0,15.6,609.0,0,1,0,0,0,0,0,0,0,0
0,3,2,3,1.0,15.6,849.0,0,1,0,0,0,0,0,0,0,0
1,5,3,4,1.0,15.6,1248.59,0,1,0,0,0,0,0,0,0,0
1,2,2,3,1.0,15.6,899.01,0,0,0,1,0,0,0,0,0,0
1,3,3,4,2.0,14.0,1124.79,0,0,0,0,0,0,1,0,0,0
0,2,2,3,1.0,14.0,1904.0,0,0,0,0,1,0,0,0,0,0
0,3,3,3,1.0,14.0,1189.0,0,1,0,0,0,0,0,0,0,0
1,3,4,3,2.0,15.6,1300.94,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1.0,11.6,363.8,0,1,0,0,0,0,0,0,0,0
0,1,1,3,1.0,14.0,625.95,0,0,1,0,0,0,0,0,0,0
0,3,3,3,2.0,15.6,1599.0,0,0,0,0,1,0,0,0,0,0
0,0,1,2,1.0,15.6,395.4,0,0,0,1,0,0,0,0,0,0
0,3,2,3,1.0,15.6,709.0,0,0,0,0,1,0,0,0,0,0
1,3,4,4,2.0,17.3,1297.04,0,0,0,1,0,0,0,0,0,0
0,2,2,3,1.0,13.3,1051.96,0,0,0,1,0,0,0,0,0,0
0,3,4,4,2.0,15.6,1899.9,0,0,0,0,0,0,0,1,0,0
